datetime,idx,up_currency,up_crossing_value,up_velocity,up_time_below,up_min_mfc,down_currency,down_crossing_value,down_velocity,down_time_above,down_max_mfc,velocity_diff,velocity_sum,outcome,reached_zero,reached_upper,fell_back,max_mfc,min_mfc_after,time_to_zero,time_to_upper,time_to_fall_back,down_velocity_abs,vel_diff_quartile,depth_bin,height_bin
2009-12-04 08:00:00,3006,USD,-0.1285917,0.06625595666666666,17,-0.53361062,GBP,0.19306301,-0.023155366666666666,12,0.30323528,0.08941132333333332,0.08941132333333332,full_continuation,True,True,False,0.9421263,-0.1285917,1.0,3.0,,0.023155366666666666,Q2,moderate_-0.6_to_-0.4,shallow_<0.4
2009-12-07 20:00:00,3016,EUR,-0.17154988,0.036897670000000014,10,-0.33351442,NZD,0.15600806,-0.03861512,13,0.44222014,0.07551279000000002,0.07551279000000002,reached_zero_then_reversed,True,False,True,0.07833621,-0.52937804,7.0,,17.0,0.03861512,Q2,shallow_>-0.4,moderate_0.4_to_0.6
2009-12-11 16:00:00,3039,GBP,-0.15344379,0.03480800666666666,15,-0.43043681,CAD,0.15185315,-0.048462573333333335,19,0.57450302,0.08327058,0.08327058,full_continuation,True,True,False,0.34502024,-0.15344379,7.0,19.0,,0.048462573333333335,Q2,moderate_-0.6_to_-0.4,moderate_0.4_to_0.6
2009-12-29 08:00:00,3112,GBP,-0.1566814,0.02729510333333333,24,-0.53618768,CAD,0.17954737,-0.04808103,35,0.92309385,0.07537613333333333,0.07537613333333333,full_continuation,True,True,False,0.64355207,-0.18739221,12.0,15.0,,0.04808103,Q2,moderate_-0.6_to_-0.4,high_>0.6
2010-01-05 00:00:00,3141,EUR,-0.19501919,0.037406056666666666,18,-0.49695192,GBP,0.18467557,-0.12063851666666665,14,0.64355207,0.15804457333333333,0.15804457333333333,immediate_reversal,False,False,True,-0.0617833,-0.39445999,,,7.0,0.12063851666666665,Q4_high,moderate_-0.6_to_-0.4,high_>0.6
2010-01-05 00:00:00,3141,CAD,-0.17734234,0.06352491666666667,13,-0.51336027,GBP,0.18467557,-0.12063851666666665,14,0.64355207,0.18416343333333332,0.18416343333333332,full_continuation,True,True,False,0.62085338,-0.17734234,5.0,8.0,,0.12063851666666665,Q4_high,moderate_-0.6_to_-0.4,high_>0.6
2010-01-12 04:00:00,3173,JPY,-0.19157982,0.09497120999999999,15,-0.69358972,CAD,0.05347853,-0.10233280666666666,24,0.62085338,0.19730401666666664,0.19730401666666664,full_continuation,True,True,False,0.63778307,-0.19157982,3.0,4.0,,0.10233280666666666,Q4_high,deep_<-0.6,high_>0.6
2010-02-04 04:00:00,3278,AUD,-0.16442445,0.07581842333333333,19,-0.55695079,NZD,0.19690195,-0.020856573333333333,1,0.20606226,0.09667499666666667,0.09667499666666667,full_continuation,True,True,True,0.35644239,-0.42014861,23.0,26.0,5.0,0.020856573333333333,Q2,moderate_-0.6_to_-0.4,shallow_<0.4
2010-02-11 08:00:00,3310,NZD,-0.17900749,0.044678133333333335,21,-0.68756047,EUR,0.13278225,-0.029360940000000002,4,0.22086507,0.07403907333333334,0.07403907333333334,full_continuation,True,True,False,0.32976233,-0.17900749,3.0,16.0,,0.029360940000000002,Q2,deep_<-0.6,shallow_<0.4
2010-02-11 08:00:00,3310,NZD,-0.17900749,0.044678133333333335,21,-0.68756047,CHF,0.1738686,-0.011941189999999999,3,0.21098136,0.05661932333333333,0.05661932333333333,full_continuation,True,True,False,0.32976233,-0.17900749,3.0,16.0,,0.011941189999999999,Q1_low,deep_<-0.6,shallow_<0.4
2010-02-17 20:00:00,3338,CHF,-0.19369008,0.040973746666666665,19,-0.71055013,CAD,0.19648156,-0.09103779000000001,22,0.84278463,0.13201153666666668,0.13201153666666668,partial_continuation,True,False,False,0.07856429,-0.19692606,19.0,,,0.09103779000000001,Q3,deep_<-0.6,high_>0.6
2010-02-19 00:00:00,3345,EUR,-0.19847551,-0.02730893333333333,2,-0.21056088,NZD,0.18943103,-0.033457629999999995,19,0.32976233,0.006148696666666665,0.06076656333333333,reached_zero_then_reversed,True,False,True,0.01058834,-0.22504321,15.0,,1.0,0.033457629999999995,Q1_low,shallow_>-0.4,shallow_<0.4
2010-03-16 08:00:00,3453,JPY,-0.16391542,0.0711054,16,-0.55199802,CAD,0.16078845,-0.018653313333333338,7,0.24836639,0.08975871333333334,0.08975871333333334,full_continuation,True,True,False,0.27535855,-0.16391542,22.0,25.0,,0.018653313333333338,Q2,moderate_-0.6_to_-0.4,shallow_<0.4
2010-04-01 12:00:00,3528,EUR,-0.15631522,0.008903509999999995,2,-0.24916377,CHF,0.18016969,-0.010043690000000003,3,0.27889022,0.018947199999999997,0.018947199999999997,full_continuation,True,True,True,0.24123541,-0.75924918,3.0,8.0,20.0,0.010043690000000003,Q1_low,shallow_>-0.4,shallow_<0.4
2010-04-12 16:00:00,3573,CHF,-0.1839738,0.08594201000000001,27,-0.81432503,GBP,0.1924764,0.008457883333333333,2,0.22849307,0.07748412666666668,0.09439989333333335,full_continuation,True,True,True,0.64109413,-0.29840147,3.0,5.0,28.0,0.008457883333333333,Q2,deep_<-0.6,shallow_<0.4
2010-04-15 04:00:00,3588,USD,-0.1676488,0.03030196666666668,23,-0.62123405,EUR,0.17089493,-0.10125488333333334,18,0.77826635,0.13155685,0.13155685,full_continuation,True,True,False,0.52388854,-0.1676488,9.0,12.0,,0.10125488333333334,Q3,deep_<-0.6,high_>0.6
2010-04-23 16:00:00,3628,JPY,-0.18285578,0.06476057666666667,12,-0.556523,GBP,0.18556137,-0.03932149666666666,13,0.42333146,0.10408207333333333,0.10408207333333333,full_continuation,True,True,True,0.36775928,-0.4947694,17.0,19.0,2.0,0.03932149666666666,Q2,moderate_-0.6_to_-0.4,moderate_0.4_to_0.6
2010-04-26 12:00:00,3634,EUR,-0.15509743,0.06016892000000001,20,-0.75700541,GBP,0.1989889,-0.0014326366666666719,3,0.21880842,0.06160155666666668,0.06160155666666668,immediate_reversal,False,False,True,-0.00719994,-0.37177811,,,12.0,0.0014326366666666719,Q1_low,deep_<-0.6,shallow_<0.4
2010-04-27 12:00:00,3640,CHF,-0.16304882,0.051405926666666664,20,-0.70932751,GBP,0.16830196,-0.016663913333333336,3,0.22559715,0.06806983999999999,0.06806983999999999,reached_zero_then_reversed,True,False,True,0.02125884,-0.29057231,24.0,,4.0,0.016663913333333336,Q1_low,deep_<-0.6,shallow_<0.4
2010-04-30 04:00:00,3656,CAD,-0.19637619,0.06785551,13,-0.52191441,USD,0.13775593,-0.06825724000000001,12,0.45158624,0.13611275,0.13611275,reached_zero_then_reversed,True,False,True,0.03052517,-0.3753519,4.0,,9.0,0.06825724000000001,Q3,moderate_-0.6_to_-0.4,moderate_0.4_to_0.6
2010-05-03 08:00:00,3664,USD,-0.18305419,0.00837930666666667,3,-0.25295176,AUD,0.16290339,-0.06499339,11,0.42608707,0.07337269666666667,0.07337269666666667,full_continuation,True,True,False,1.16345469,-0.18305419,5.0,7.0,,0.06499339,Q2,shallow_>-0.4,moderate_0.4_to_0.6
2010-05-27 04:00:00,3774,NZD,-0.17713124,0.015932813333333334,35,-0.77096451,USD,0.16081775,-0.026354989999999995,11,0.27573245,0.04228780333333333,0.04228780333333333,full_continuation,True,True,True,0.30850291,-0.20057386,9.0,13.0,4.0,0.026354989999999995,Q1_low,deep_<-0.6,shallow_<0.4
2010-05-27 04:00:00,3774,NZD,-0.17713124,0.015932813333333334,35,-0.77096451,GBP,0.16700194,-0.04847286333333333,24,0.62903288,0.06440567666666666,0.06440567666666666,full_continuation,True,True,True,0.30850291,-0.20057386,9.0,13.0,4.0,0.04847286333333333,Q1_low,deep_<-0.6,high_>0.6
2010-06-17 04:00:00,3867,JPY,-0.17280083,0.03145322,26,-0.43660154,AUD,0.1624304,-0.035269426666666666,29,0.53717048,0.06672264666666666,0.06672264666666666,partial_continuation,True,False,False,0.18619967,-0.17280083,14.0,,,0.035269426666666666,Q1_low,moderate_-0.6_to_-0.4,moderate_0.4_to_0.6
2010-07-06 20:00:00,3952,USD,-0.1426786,0.03407798333333334,13,-0.36197648,GBP,0.1941946,-0.06343105333333333,15,0.40809776,0.09750903666666667,0.09750903666666667,reached_zero_then_reversed,True,False,True,0.11235605,-0.54580628,25.0,,5.0,0.06343105333333333,Q2,shallow_>-0.4,moderate_0.4_to_0.6
2010-07-13 12:00:00,3981,JPY,-0.17448513,0.10403095333333334,20,-0.85694085,AUD,0.18177642,-0.10106406333333334,22,1.19161619,0.20509501666666669,0.20509501666666669,full_continuation,True,True,True,0.95601234,-0.20279299,17.0,19.0,7.0,0.10106406333333334,Q4_high,deep_<-0.6,high_>0.6
2010-07-14 20:00:00,3989,JPY,-0.19450709,-0.023461279999999998,1,-0.20279299,CAD,0.19834693,-0.07900262333333333,27,0.74340763,0.055541343333333326,0.10246390333333333,full_continuation,True,True,True,0.95601234,-0.2010965,9.0,11.0,1.0,0.07900262333333333,Q1_low,shallow_>-0.4,high_>0.6
2010-07-21 12:00:00,4018,CAD,-0.07239168,0.15530151,25,-1.22527357,EUR,0.10797207,-0.13485835333333332,25,0.96327094,0.2901598633333333,0.2901598633333333,full_continuation,True,True,False,0.41982214,-0.07239168,1.0,3.0,,0.13485835333333332,Q4_high,deep_<-0.6,high_>0.6
2010-07-21 12:00:00,4018,CAD,-0.07239168,0.15530151,25,-1.22527357,USD,0.16803037,-0.02322554,7,0.30954213,0.17852705,0.17852705,full_continuation,True,True,False,0.41982214,-0.07239168,1.0,3.0,,0.02322554,Q4_high,deep_<-0.6,shallow_<0.4
2010-07-28 12:00:00,4049,USD,-0.19038568,0.030915159999999997,23,-0.46984588,AUD,0.14758898,-0.05895548999999999,32,0.53123213,0.08987065,0.08987065,immediate_reversal,False,False,True,-0.10628474,-0.58794647,,,13.0,0.05895548999999999,Q2,moderate_-0.6_to_-0.4,moderate_0.4_to_0.6
2010-07-29 08:00:00,4054,JPY,-0.18432691,0.043264479999999994,26,-0.47268212,NZD,0.17861228,-0.06272519,25,0.57729691,0.10598967,0.10598967,full_continuation,True,True,False,0.35200632,-0.18432691,5.0,8.0,,0.06272519,Q2,moderate_-0.6_to_-0.4,moderate_0.4_to_0.6
2010-08-09 00:00:00,4096,CHF,-0.13610852,0.08029808999999999,19,-0.66033583,CAD,0.19565869,-0.06278007,8,0.39595454,0.14307815999999998,0.14307815999999998,full_continuation,True,True,False,0.66318192,-0.13610852,2.0,23.0,,0.06278007,Q3,deep_<-0.6,shallow_<0.4
2010-08-15 20:00:00,4126,AUD,-0.17858455,0.03579010333333332,11,-0.36266496,JPY,0.17088035,-0.09853256666666665,21,0.84651088,0.13432266999999998,0.13432266999999998,reached_zero_then_reversed,True,False,True,0.12814519,-0.43519238,11.0,,1.0,0.09853256666666665,Q3,shallow_>-0.4,high_>0.6
2010-08-20 12:00:00,4154,GBP,-0.18342405,0.013715663333333331,13,-0.28402197,NZD,0.16619426,-0.00700165333333333,1,0.23552521,0.02071731666666666,0.02071731666666666,partial_continuation,True,False,False,0.09088043,-0.19300861,5.0,,,0.00700165333333333,Q1_low,shallow_>-0.4,shallow_<0.4
